listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,type_condos,type_farm,type_multi_family,type_single_family,type_townhome
13.864301674514206,2856.0,2.0,4.0,3.0,3.0,3.0,2.0,1999.0,0.0,0.0,0.0,1.0,0.0
13.527829818844937,1641.0,2.0,2.0,2.0,2.0,2.0,2.0,1980.0,0.0,0.0,0.0,1.0,0.0
12.461880850543723,1472.0,2.0,4.0,2.0,2.0,2.0,,1951.0,0.0,0.0,0.0,1.0,0.0
13.567734860981531,2828.0,1.0,4.0,4.0,3.0,3.0,3.0,2026.0,0.0,0.0,0.0,1.0,0.0
12.847665971443902,1742.0,2.0,3.0,1.0,1.0,1.0,2.0,1947.0,0.0,0.0,0.0,1.0,0.0
12.013706813470414,1440.0,1.0,3.0,1.0,1.0,1.0,,1965.0,0.0,0.0,0.0,1.0,0.0
13.12216535779974,1124.0,1.0,3.0,2.0,2.0,2.0,1.0,1925.0,0.0,0.0,0.0,1.0,0.0
13.337315066852122,2392.0,2.0,5.0,2.0,2.0,2.0,2.0,1912.0,0.0,0.0,0.0,1.0,0.0
12.575914030220655,14051.0,1.0,3.0,2.0,2.0,2.0,,2023.0,0.0,0.0,0.0,0.0,1.0
13.003582093664077,1728.0,1.0,3.0,3.0,3.0,3.0,,1971.0,0.0,0.0,0.0,1.0,0.0
13.704580114574805,4140.0,2.0,4.0,4.0,4.0,4.0,3.0,1999.0,0.0,0.0,0.0,1.0,0.0
12.464587201678082,901.0,1.0,1.0,1.0,1.0,1.0,1.0,2001.0,1.0,0.0,0.0,0.0,0.0
13.451668563394815,3406.0,2.0,2.0,4.0,4.0,4.0,,1904.0,0.0,0.0,1.0,0.0,0.0
12.128116509451258,738.0,1.0,1.0,1.0,1.0,1.0,,1924.0,0.0,0.0,0.0,1.0,0.0
13.384729180332174,1980.0,1.0,3.0,2.0,2.0,2.0,2.0,2018.0,0.0,0.0,0.0,1.0,0.0
13.345508528717259,1565.0,1.0,4.0,2.0,2.0,2.0,1.0,1952.0,1.0,0.0,0.0,0.0,0.0
